Continent,institution,country,collected papyry
Europe,Agypt Museum Berlin,Germany,35000
Europe,Bonn	Friedrich-Wilhelms-University,Germany,277
Europe,Justus-Liebig-University Giessen,Germany,2500
Europe,Martin-Luther-University Halle-Wittenberg,Germany,250
Europe,Ruprecht-Karls-University Heidelberg,Germany,11000 
Europe,Friedrich-Schiller-University Jena,Germany,2000
Europe,University zu Koeln,Germany,6000
Europe,Universitys Library Leipzig,Germany,5000
Europe,Philipps-University Marburg,Germany,50
Europe,University Trierj,Germany,508
Europe,University Wuerzburg,Germany,226
Europe,Sorbonne Institut de Papyrologie,Frankreich,2703
Europe,Chester Beatty Library Dublin,Irland,11
Europe,Medicea Laurentiana,Italien,2500
Europe,Istituto Papirologico "G. Vitelli",Italien,953
Europe,Nationalbibliothek Neapel,Italien,170
Europe,University Leiden,Niederlande,660
Europe,Universitysbibliothek Oslo,Norwegen,1662
Europe,Martin Schoyen Collection	Oslo,Norwegen,1100
Europe,Papyrusmuseum Wien,Oesterreich,180000
Europe,University Warschau,Polen,64
Europe,Universitysbibliothek Lund,Schweden,800
Europe,Bibliotheca Bodmeriana Cologny,Schweiz,22
Europe,Barcelona	Archivo Historico SJ de Cataluna Barcelona,Spanien,285
Europe,John Rylands University Library,UK,700
Europe,British Library London,UK,4000
Europe,University of Oxford,UK, 1400
Europe,Library Sackler,UK,5300
North America,Amherst-Papyri Morgan Library & Museum New York,USA,75
North America,University of California at Berkeley,USA,30000
North America,Columbia University in New York,USA,1000
North America,Duke University Duke University in Durham,USA,1200
North America,University Michigan,USA,10000
North America,University in St. Louis,USA,445
North America,Beinecke Library an der Yale University,USA,6000
Africa,Aegyptisches Museum Kairo,Aegypten,5000
Asia,Muschkin-Museum der schönen Künste,Russland,150
 


